model,accuracy,macro_f1,balanced_accuracy,mcc,parameters,latency_ms
DenseNet-121 baseline,1.0,1.0,1.0,1.0,6957956,24.329763300193008
DenseNet-121 + residual attention,0.9909365558912386,0.9894838867334975,0.9925315048183839,0.9877245645596656,26099716,33.71075579998433
