model,dice_macro,iou_macro,boundary_iou_macro,parameters,latency_ms
Attention-Residual U-Net,0.7345699431849613,0.585506586917829,0.24209066543868046,2101220,6.4602358997944975
MCUNet-Seg,0.5243806910106416,0.3682704702829495,0.09170366947283108,731108,6.845519199850969
