class,tp,fp,tn,fn,support,precision,recall,specificity,npv,balanced_accuracy,mcc,f1,dice,iou
background,3843993.0,190090.0,355360.0,67005.0,3910998.0,0.9528790062078544,0.9828675442943208,0.6514987624896874,0.8413575935506019,0.8171831533920041,0.7098147212487639,0.9676409844028022,0.9676409844028022,0.9373105380816018
early_blight,137267.0,22768.0,4166187.0,130226.0,267493.0,0.8577311213172119,0.5131610920659606,0.9945647542167438,0.969689599207525,0.7538629231413523,0.6481534429132249,0.6421427368499841,0.6421427368499841,0.4729088647803184
late_blight,100534.0,22403.0,4310721.0,22790.0,123324.0,0.8177684505071703,0.8152022315202232,0.9948298271639584,0.9947409848503904,0.9050160293420908,0.8112698013749845,0.8164833246027589,0.8164833246027589,0.6898790203599882
bacterial_spot,109537.0,29856.0,4271959.0,45096.0,154633.0,0.7858142087479285,0.7083675541443288,0.9930596736493782,0.9895539899306356,0.8507136138968535,0.7374716036014577,0.7450837681021407,0.7450837681021407,0.5937318756131802
