disease,severity,beta_min_loss,beta_central_loss,beta_max_loss
late_blight,15.0,15.0,16.5,18.0
late_blight,16.0,16.0,17.6,19.2
late_blight,17.0,17.0,18.700000000000003,20.4
late_blight,18.0,18.0,19.8,21.599999999999998
late_blight,19.0,19.0,20.900000000000002,22.8
late_blight,20.0,20.0,22.0,24.0
late_blight,21.0,21.0,23.1,25.2
late_blight,22.0,22.0,24.200000000000003,26.4
late_blight,23.0,23.0,25.3,27.599999999999998
late_blight,24.0,24.0,26.400000000000002,28.799999999999997
late_blight,25.0,25.0,27.500000000000004,30.0
late_blight,26.0,26.0,28.6,31.2
late_blight,27.0,27.0,29.700000000000003,32.4
late_blight,28.0,28.0,30.800000000000004,33.6
late_blight,29.0,29.0,31.900000000000002,34.8
late_blight,30.0,30.0,33.0,36.0
late_blight,31.0,31.0,34.1,37.199999999999996
late_blight,32.0,32.0,35.2,38.4
late_blight,33.0,33.0,36.300000000000004,39.6
late_blight,34.0,34.0,37.400000000000006,40.8
late_blight,35.0,35.0,38.5,42.0
late_blight,36.0,36.0,39.6,43.199999999999996
late_blight,37.0,37.0,40.7,44.4
late_blight,38.0,38.0,41.800000000000004,45.6
late_blight,39.0,39.0,42.900000000000006,46.8
late_blight,40.0,40.0,44.0,48.0
late_blight,41.0,41.0,45.1,49.199999999999996
late_blight,42.0,42.0,46.2,50.4
late_blight,43.0,43.0,47.300000000000004,51.6
late_blight,44.0,44.0,48.400000000000006,52.8
late_blight,45.0,45.0,49.50000000000001,54.0
late_blight,46.0,46.0,50.6,55.199999999999996
late_blight,47.0,47.0,51.7,56.4
late_blight,48.0,48.0,52.800000000000004,57.599999999999994
late_blight,49.0,49.0,53.900000000000006,58.8
late_blight,50.0,50.0,55.00000000000001,60.0
late_blight,51.0,51.0,56.1,61.199999999999996
late_blight,52.0,52.0,57.2,62.4
late_blight,53.0,53.0,58.300000000000004,63.599999999999994
late_blight,54.0,54.0,59.400000000000006,64.8
late_blight,55.0,55.0,60.50000000000001,66.0
late_blight,56.0,56.0,61.60000000000001,67.2
late_blight,57.0,57.0,62.7,68.39999999999999
late_blight,58.0,58.0,63.800000000000004,69.6
late_blight,59.0,59.0,64.9,70.8
late_blight,60.0,60.0,66.0,72.0
late_blight,61.0,61.0,67.10000000000001,73.2
late_blight,62.0,62.0,68.2,74.39999999999999
late_blight,63.0,63.0,69.30000000000001,75.6
late_blight,64.0,64.0,70.4,76.8
late_blight,65.0,65.0,71.5,78.0
late_blight,66.0,66.0,72.60000000000001,79.2
late_blight,67.0,67.0,73.7,80.39999999999999
late_blight,68.0,68.0,74.80000000000001,81.6
late_blight,69.0,69.0,75.9,82.8
late_blight,70.0,70.0,77.0,84.0
late_blight,71.0,71.0,78.10000000000001,85.2
late_blight,72.0,72.0,79.2,86.39999999999999
late_blight,73.0,73.0,80.30000000000001,87.6
late_blight,74.0,74.0,81.4,88.8
late_blight,75.0,75.0,82.5,90.0
late_blight,76.0,76.0,83.60000000000001,91.2
late_blight,77.0,77.0,84.7,92.39999999999999
late_blight,78.0,78.0,85.80000000000001,93.6
late_blight,79.0,79.0,86.9,94.8
late_blight,80.0,80.0,88.0,96.0
late_blight,81.0,81.0,89.10000000000001,97.2
late_blight,82.0,82.0,90.2,98.39999999999999
late_blight,83.0,83.0,91.30000000000001,99.6
late_blight,84.0,84.0,92.4,100.0
late_blight,85.0,85.0,93.50000000000001,100.0
late_blight,86.0,86.0,94.60000000000001,100.0
late_blight,87.0,87.0,95.7,100.0
late_blight,88.0,88.0,96.80000000000001,100.0
late_blight,89.0,89.0,97.9,100.0
late_blight,90.0,90.0,99.00000000000001,100.0
late_blight,91.0,91.0,100.0,100.0
late_blight,92.0,92.0,100.0,100.0
late_blight,93.0,93.0,100.0,100.0
late_blight,94.0,94.0,100.0,100.0
late_blight,95.0,95.0,100.0,100.0
late_blight,96.0,96.0,100.0,100.0
late_blight,97.0,97.0,100.0,100.0
late_blight,98.0,98.0,100.0,100.0
late_blight,99.0,99.0,100.0,100.0
late_blight,100.0,100.0,100.0,100.0
bacterial_spot,0.0,0.0,0.0,0.0
bacterial_spot,1.0,0.3,0.4,0.45
bacterial_spot,2.0,0.6,0.8,0.9
bacterial_spot,3.0,0.8999999999999999,1.2000000000000002,1.35
bacterial_spot,4.0,1.2,1.6,1.8
bacterial_spot,5.0,1.5,2.0,2.25
bacterial_spot,6.0,1.7999999999999998,2.4000000000000004,2.7
bacterial_spot,7.0,2.1,2.8000000000000003,3.15
bacterial_spot,8.0,2.4,3.2,3.6
bacterial_spot,9.0,2.6999999999999997,3.6,4.05
bacterial_spot,10.0,3.0,4.0,4.5
bacterial_spot,11.0,3.3,4.4,4.95
bacterial_spot,12.0,3.5999999999999996,4.800000000000001,5.4
bacterial_spot,13.0,3.9,5.2,5.8500000000000005
bacterial_spot,14.0,4.2,5.6000000000000005,6.3
bacterial_spot,15.0,4.5,6.0,6.75
bacterial_spot,16.0,4.8,6.4,7.2
bacterial_spot,17.0,5.1,6.800000000000001,7.65
bacterial_spot,18.0,5.3999999999999995,7.2,8.1
bacterial_spot,19.0,5.7,7.6000000000000005,8.55
bacterial_spot,20.0,6.0,8.0,9.0
bacterial_spot,21.0,6.3,8.4,9.450000000000001
bacterial_spot,22.0,6.6,8.8,9.9
bacterial_spot,23.0,6.8999999999999995,9.200000000000001,10.35
bacterial_spot,24.0,7.199999999999999,9.600000000000001,10.8
bacterial_spot,25.0,7.5,10.0,11.25
bacterial_spot,26.0,7.8,10.4,11.700000000000001
bacterial_spot,27.0,8.1,10.8,12.15
bacterial_spot,28.0,8.4,11.200000000000001,12.6
bacterial_spot,29.0,8.7,11.600000000000001,13.05
bacterial_spot,30.0,9.0,12.0,13.5
bacterial_spot,31.0,9.299999999999999,12.4,13.950000000000001
bacterial_spot,32.0,9.6,12.8,14.4
bacterial_spot,33.0,9.9,13.200000000000001,14.85
bacterial_spot,34.0,10.2,13.600000000000001,15.3
bacterial_spot,35.0,10.5,14.0,15.75
bacterial_spot,36.0,10.799999999999999,14.4,16.2
bacterial_spot,37.0,11.1,14.8,16.650000000000002
bacterial_spot,38.0,11.4,15.200000000000001,17.1
bacterial_spot,39.0,11.7,15.600000000000001,17.55
bacterial_spot,40.0,12.0,16.0,18.0
bacterial_spot,41.0,12.299999999999999,16.400000000000002,18.45
bacterial_spot,42.0,12.6,16.8,18.900000000000002
bacterial_spot,43.0,12.9,17.2,19.35
bacterial_spot,44.0,13.2,17.6,19.8
bacterial_spot,45.0,13.5,18.0,20.25
bacterial_spot,46.0,13.799999999999999,18.400000000000002,20.7
bacterial_spot,47.0,14.1,18.8,21.150000000000002
bacterial_spot,48.0,14.399999999999999,19.200000000000003,21.6
bacterial_spot,49.0,14.7,19.6,22.05
bacterial_spot,50.0,15.0,20.0,22.5
bacterial_spot,51.0,15.299999999999999,20.400000000000002,22.95
bacterial_spot,52.0,15.6,20.8,23.400000000000002
bacterial_spot,53.0,15.899999999999999,21.200000000000003,23.85
bacterial_spot,54.0,16.2,21.6,24.3
bacterial_spot,55.0,16.5,22.0,24.75
bacterial_spot,56.0,16.8,22.400000000000002,25.2
bacterial_spot,57.0,17.099999999999998,22.8,25.650000000000002
bacterial_spot,58.0,17.4,23.200000000000003,26.1
bacterial_spot,59.0,17.7,23.6,26.55
bacterial_spot,60.0,18.0,24.0,27.0
bacterial_spot,61.0,18.3,24.400000000000002,27.45
bacterial_spot,62.0,18.599999999999998,24.8,27.900000000000002
bacterial_spot,63.0,18.9,25.200000000000003,28.35
bacterial_spot,64.0,19.2,25.6,28.8
bacterial_spot,65.0,19.5,26.0,29.25
bacterial_spot,66.0,19.8,26.400000000000002,29.7
bacterial_spot,67.0,20.099999999999998,26.8,30.150000000000002
bacterial_spot,68.0,20.4,27.200000000000003,30.6
bacterial_spot,69.0,20.7,27.6,31.05
bacterial_spot,70.0,21.0,28.0,31.5
bacterial_spot,71.0,21.3,28.400000000000002,31.95
bacterial_spot,72.0,21.599999999999998,28.8,32.4
bacterial_spot,73.0,21.9,29.200000000000003,32.85
bacterial_spot,74.0,22.2,29.6,33.300000000000004
bacterial_spot,75.0,22.5,30.0,33.75
bacterial_spot,76.0,22.8,30.400000000000002,34.2
bacterial_spot,77.0,23.099999999999998,30.8,34.65
bacterial_spot,78.0,23.4,31.200000000000003,35.1
bacterial_spot,79.0,23.7,31.6,35.550000000000004
bacterial_spot,80.0,24.0,32.0,36.0
bacterial_spot,81.0,24.3,32.4,36.45
bacterial_spot,82.0,24.599999999999998,32.800000000000004,36.9
bacterial_spot,83.0,24.9,33.2,37.35
bacterial_spot,84.0,25.2,33.6,37.800000000000004
bacterial_spot,85.0,25.5,34.0,38.25
bacterial_spot,86.0,25.8,34.4,38.7
bacterial_spot,87.0,26.099999999999998,34.800000000000004,39.15
bacterial_spot,88.0,26.4,35.2,39.6
bacterial_spot,89.0,26.7,35.6,40.050000000000004
bacterial_spot,90.0,27.0,36.0,40.5
bacterial_spot,91.0,27.3,36.4,40.95
bacterial_spot,92.0,27.599999999999998,36.800000000000004,41.4
bacterial_spot,93.0,27.9,37.2,41.85
bacterial_spot,94.0,28.2,37.6,42.300000000000004
bacterial_spot,95.0,28.5,38.0,42.75
bacterial_spot,96.0,28.799999999999997,38.400000000000006,43.2
bacterial_spot,97.0,29.099999999999998,38.800000000000004,43.65
bacterial_spot,98.0,29.4,39.2,44.1
bacterial_spot,99.0,29.7,39.6,44.550000000000004
bacterial_spot,100.0,30.0,40.0,45.0
