class,tp,fp,tn,fn,support,precision,recall,specificity,npv,balanced_accuracy,mcc,f1,dice,iou
background,3799186.0,245313.0,300137.0,111812.0,3910998.0,0.9393465049688479,0.9714108777350435,0.5502557521312678,0.7285780521375219,0.7608333149331556,0.5902829429270581,0.9551096556255378,0.9551096556255378,0.9140764490433945
early_blight,57259.0,37571.0,4151384.0,210234.0,267493.0,0.6038068121902351,0.2140579379647318,0.9910309373101406,0.951799080066159,0.6025444376374361,0.3375627164527442,0.31606605156172807,0.31606605156172807,0.18769504104056853
late_blight,96693.0,78943.0,4254181.0,26631.0,123324.0,0.5505306429205857,0.7840566313126399,0.9817815045219107,0.9937789839871501,0.8829190679172754,0.6456415956146414,0.6468624565159219,0.6468624565159219,0.478046344683018
bacterial_spot,90347.0,51136.0,4250679.0,64286.0,154633.0,0.6385714184743043,0.5842672650727853,0.9881129244284099,0.9851016172784716,0.7861900947505975,0.5974764350089128,0.6102135649542747,0.6102135649542747,0.43907002512526183
