label,count,fraction,inverse_frequency_weight
bacterial_spot,1701,0.3215500945179584,0.7774838330393886
late_blight,1521,0.287523629489603,0.8694937541091388
healthy,1268,0.2396975425330813,1.0429810725552051
early_blight,800,0.15122873345935728,1.653125
