class,tp,fp,tn,fn,support,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,roc_auc,average_precision
healthy,159,0,503,0,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
early_blight,100,5,557,0,100,0.9523809523809523,1.0,1.0,0.9911032028469751,1.0,0.975609756097561,0.9955516014234875,0.9999466192170818,0.9997087378640777
late_blight,187,1,471,3,190,0.9946808510638298,0.9842105263157894,0.9842105263157894,0.9978813559322034,0.9936708860759493,0.9894179894179894,0.9910459411239965,0.9999330954504907,0.9998342209206195
bacterial_spot,210,0,449,3,213,1.0,0.9859154929577465,0.9859154929577465,1.0,0.9933628318584071,0.9929078014184397,0.9929577464788732,1.0,1.0
