accumulation_steps,backbone_trainable,cuda_allocated_bytes,cuda_peak_allocated_bytes,cuda_reserved_bytes,epoch,gpu_memory_used_mib,gpu_power_w,gpu_temperature_c,gpu_utilization_percent,lr,process_max_rss_kb,seconds,system_load_1m,system_memory_available_kb,system_memory_total_kb,train_accuracy,train_balanced_accuracy,train_cohen_kappa,train_loss,train_macro_f1,train_matthews_correlation_coefficient,train_weighted_f1,val_accuracy,val_average_precision_macro,val_balanced_accuracy,val_cohen_kappa,val_expected_calibration_error_10_bins,val_loss,val_macro_f1,val_matthews_correlation_coefficient,val_multiclass_brier_score,val_multiclass_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_weighted_f1
4,False,419575296.0,575721472.0,813694976.0,1,899.0,16.78,80.0,15.0,0.0001,2197232.0,72.2156822681427,1.357421875,10702952.0,16094848.0,0.8347826086956521,0.8218915984671583,0.7754756923807294,0.4822150274364732,0.8185848743097666,0.7756742659449867,0.8355915505469536,0.9425113464447806,0.9845274940810852,0.9463046701260193,0.9221904874014138,0.01653940841497644,0.1442676427430345,0.9357120831949193,0.9235646583580208,0.07916670148114505,0.1452820190615537,0.9949819625367011,0.9962902335084747,0.9435840132962374
4,False,419575296.0,575721472.0,813694976.0,2,899.0,16.21,81.0,27.0,0.0001,2197232.0,75.53407025337219,1.671875,10706440.0,16094848.0,0.9155009451795841,0.9077414620220523,0.884971480624853,0.2709425332234197,0.9058654713498233,0.8850078705332625,0.9157790339728492,0.9636913767019667,0.9831773800278082,0.9651525821596244,0.950744085968088,0.021638157129518,0.14377669781501407,0.956486144814634,0.951608629860626,0.07044966459050665,0.14385997128016634,0.9955045773972548,0.9961475631740694,0.9643074644434154
4,True,475252224.0,943124992.0,1010827264.0,3,1087.0,13.91,81.0,22.0,0.0001,2197232.0,173.5689549446106,1.3544921875,10717856.0,16094848.0,0.8933837429111531,0.8856170776260796,0.8549854475585965,0.33875582528050585,0.8826750156150139,0.8550866349280133,0.8938477327982968,0.9606656580937972,0.9920563121790025,0.9610526315789474,0.9466409175303183,0.006998818959606127,0.09113101545917138,0.9523128102474208,0.9476103367520128,0.05512427413089493,0.09115784505050012,0.9981212760604806,0.9985922783799906,0.9611613574041529
4,True,475252224.0,943124992.0,1010827264.0,4,1087.0,14.91,80.0,44.0,0.0001,2197232.0,176.45827865600586,1.27392578125,10735108.0,16094848.0,0.9400756143667297,0.9350810667578442,0.9184020696862762,0.20329721282224836,0.933375829952531,0.9184280283880445,0.9402502198882139,0.9909228441754917,0.9987239586279167,0.985,0.9876054753422089,0.016261557147665785,0.04012819321659568,0.9882326444572371,0.9877025664357864,0.015726056424781126,0.040102996959870185,0.999682200921084,0.9997559555276355,0.9908339808084405
4,True,475252224.0,943124992.0,1010827264.0,5,1087.0,13.51,81.0,25.0,0.0001,2197232.0,172.69741415977478,1.5,10721156.0,16094848.0,0.9620037807183365,0.9599340571263681,0.9482626086809279,0.13363836372107452,0.9580505857585824,0.9482890217728447,0.9621116175650231,0.9878971255673222,0.999599911241583,0.9880229846768821,0.98352627447071,0.015217722546706513,0.0314996106865,0.9848309446756048,0.983622353341963,0.014451236606008068,0.03153602522182877,0.9999057508292684,0.9999231864526735,0.9880003795553932
4,True,475252224.0,943124992.0,1010827264.0,6,1087.0,12.89,80.0,17.0,0.0001,2197232.0,177.2709333896637,1.33740234375,10727284.0,16094848.0,0.969187145557656,0.9666200740038924,0.9580098478440742,0.11689655314263886,0.9660574490334188,0.9580134749824432,0.9692216241733773,0.9773071104387292,0.9996802568115304,0.9802631578947368,0.9691383963171508,0.01764939813306897,0.0694038623367308,0.9749210334739369,0.9696683313004442,0.03693748973308929,0.06940845089853447,0.999939274127961,0.9999617306387649,0.9772448992136138
4,True,475252224.0,943124992.0,1010827264.0,7,1087.0,13.58,81.0,16.0,0.0001,2197232.0,180.44780015945435,1.31396484375,10704996.0,16094848.0,0.9803402646502836,0.9787706904767557,0.9732089812439494,0.08081361081031731,0.9782351127562361,0.973212763084851,0.9803530544289655,0.9984871406959153,1.0,0.9986842105263158,0.9979380993081247,0.011117977976805526,0.01259719010104521,0.9980965882986125,0.9979412507099761,0.004268049143628243,0.012596957060411938,1.0,1.0,0.9984889081709157
4,True,475252224.0,943124992.0,1010827264.0,8,1087.0,13.65,80.0,36.0,0.0001,2197232.0,176.78218722343445,1.29150390625,10703980.0,16094848.0,0.9803402646502836,0.9793599170576593,0.9732080327398074,0.06954457574229757,0.9787835141506831,0.9732122795389817,0.9803523039088475,1.0,1.0,1.0,1.0,0.008137180872005266,0.009294068232290877,1.0,1.0,0.003429000280565035,0.009295107433045248,1.0,1.0,1.0
4,True,475252224.0,943124992.0,1010827264.0,9,1087.0,14.41,81.0,35.0,0.0001,2197232.0,181.00431847572327,1.48681640625,10697768.0,16094848.0,0.9844990548204159,0.9830562811309799,0.9788794984287433,0.05660300068012597,0.9822416456182297,0.978884402138029,0.9845230497508339,0.9984871406959153,1.0,0.9986842105263158,0.9979377261949333,0.012795152878744803,0.01430799435776075,0.9985517258600168,0.9979408443681783,0.004616768458848794,0.014525398480469787,1.0,1.0,0.998487531052727
4,True,475252224.0,943124992.0,1010827264.0,10,1087.0,14.01,81.0,27.0,0.0001,2197232.0,173.45667505264282,1.32861328125,10712076.0,16094848.0,0.9888468809073724,0.9871241134265549,0.9847939840867638,0.04971397286974475,0.9873867651400172,0.9847968341723904,0.9888468767415294,0.9969742813918305,0.9998427368317414,0.995,0.9958721296938132,0.01062954653862159,0.017367079303262273,0.9963065231756821,0.9958848248905626,0.007827758986505751,0.017047037550686584,0.9999680222601205,0.9999770658504085,0.9969660694207191
4,True,475252224.0,943124992.0,1010827264.0,11,1087.0,14.56,80.0,6.0,3e-05,2197232.0,182.4953715801239,1.2197265625,10719648.0,16094848.0,0.9905482041587902,0.9896189692941846,0.9871158777979248,0.03665833586473383,0.9895738357044102,0.9871168395841159,0.9905490983595989,0.9969742813918305,0.9998016374036585,0.995,0.9958727225045894,0.005748760305921271,0.012924878783751231,0.9961658469511874,0.995885323418806,0.005527130099756434,0.012902931583084478,0.9999548376629779,0.9999650628901472,0.9969669207140592
4,True,475252224.0,943124992.0,1010827264.0,12,1087.0,13.47,81.0,26.0,3e-05,2197232.0,175.85205912590027,1.22412109375,10651636.0,16094848.0,0.9948960302457467,0.9948274309982381,0.9930444679731425,0.015974786961466578,0.994300504658342,0.9930472568270106,0.9948988041677582,0.9969742813918305,0.9999683585746285,0.9961842105263158,0.9958750405631412,0.006893997259500872,0.007971111223504138,0.9961842105263158,0.9958750405631412,0.002862545449791257,0.007971800845495569,0.9999927500637898,0.9999940912655902,0.9969742813918305
4,True,475252224.0,943124992.0,1010827264.0,13,1087.0,12.92,80.0,30.0,3e-05,2197232.0,183.11736702919006,1.3486328125,10706760.0,16094848.0,0.997164461247637,0.9972919783619132,0.9961351978418282,0.011862250813824941,0.9970473959548937,0.9961361729099687,0.9971650873319609,0.9969742813918305,0.9999862938596491,0.9968354430379747,0.9958742166629216,0.004345732674945551,0.013184899852770337,0.9970987427885417,0.995886671199831,0.007313158644428794,0.013184125099742875,0.9999944127835512,0.9999935759689847,0.9969725660746485
4,True,475252224.0,943124992.0,1010827264.0,14,1087.0,14.35,80.0,14.0,9e-06,2197232.0,174.70020723342896,1.40087890625,10708452.0,16094848.0,0.9956521739130435,0.9949903013270184,0.994073127388109,0.018423284112693897,0.995071836922398,0.9940731767716743,0.9956515927768359,0.9984871406959153,1.0,0.9986842105263158,0.9979380993081247,0.004447632755817201,0.004994046453285452,0.9980965882986125,0.9979412507099761,0.001541398035945177,0.004982971354239073,1.0,1.0,0.9984889081709157
4,True,475252224.0,943124992.0,1010827264.0,15,1087.0,13.78,80.0,33.0,9e-06,2197232.0,175.76695489883423,1.4814453125,10694416.0,16094848.0,0.9975425330812855,0.9969938253621927,0.9966499521508725,0.010003292436484491,0.9971325708994763,0.9966501000287048,0.9975416563197524,1.0,1.0,1.0,1.0,0.004164788095126549,0.004391510757014793,1.0,1.0,0.0007413895273801719,0.004383596021818084,1.0,1.0,1.0
4,True,475252224.0,943124992.0,1010827264.0,16,1087.0,13.7,80.0,34.0,9e-06,2197232.0,179.66929125785828,1.5205078125,10723100.0,16094848.0,0.9986767485822307,0.9984070288293492,0.9981961438983216,0.0073438407525896416,0.9985381809781755,0.9981962914576474,0.9986764803506996,1.0,1.0,1.0,1.0,0.004518646045199161,0.005037795273482668,1.0,1.0,0.0015349360882030468,0.00502635212958278,1.0,1.0,1.0
