accumulation_steps,backbone_trainable,cuda_allocated_bytes,cuda_peak_allocated_bytes,cuda_reserved_bytes,epoch,gpu_memory_used_mib,gpu_power_w,gpu_temperature_c,gpu_utilization_percent,lr,process_max_rss_kb,seconds,system_load_1m,system_memory_available_kb,system_memory_total_kb,train_accuracy,train_balanced_accuracy,train_cohen_kappa,train_loss,train_macro_f1,train_matthews_correlation_coefficient,train_weighted_f1,val_accuracy,val_average_precision_macro,val_balanced_accuracy,val_cohen_kappa,val_expected_calibration_error_10_bins,val_loss,val_macro_f1,val_matthews_correlation_coefficient,val_multiclass_brier_score,val_multiclass_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,val_weighted_f1
4,False,47603712.0,70862336.0,98566144.0,1,211.0,13.51,66.0,2.0,0.0001,1786920.0,58.5170636177063,0.83056640625,10935904.0,16094848.0,0.575992438563327,0.5517751451821611,0.4236031686628201,1.1514003014068748,0.5499222065427478,0.4237519830934543,0.5761612644140927,0.7957639939485628,0.8447895184097541,0.7813466765505312,0.7229372040673756,0.34694060822006145,0.9004492239403833,0.7713629892447753,0.7278263316451514,0.476109607297753,0.90026218139034,0.9391454730995672,0.9469366277461254,0.7915984766620159
4,False,47603712.0,70862336.0,98566144.0,2,211.0,14.63,68.0,42.0,0.0001,1793988.0,50.48344850540161,1.30029296875,10864420.0,16094848.0,0.7843100189035916,0.759850658811402,0.7064613479729245,0.8203762936456893,0.7553369023148865,0.707555139007268,0.7811318451728774,0.8441754916792739,0.8898973585615483,0.8170576970595502,0.7869136706634242,0.2796517698107237,0.6809776584968624,0.815132530569692,0.7909528201298897,0.3450292288266289,0.6805129040852349,0.9623248058982774,0.9678033468992747,0.8381171857572237
4,True,103682048.0,416865280.0,436207616.0,3,537.0,9.83,72.0,37.0,0.0001,2011988.0,157.48269605636597,1.46923828125,10819640.0,16094848.0,0.8793950850661626,0.8691710401872108,0.8356965866034265,0.3597866510796327,0.8686600921167711,0.8357606934536301,0.8796538966917159,0.989409984871407,0.9981999399450825,0.9884387247312433,0.9855713760048895,0.019290571667448384,0.04481632154999912,0.9873205214540597,0.9855869142267153,0.01848415323126849,0.04480159607113404,0.9995197243294223,0.9996266641586691,0.9894553106919328
4,True,103682048.0,416865280.0,436207616.0,4,537.0,15.4,77.0,40.0,0.0001,2016116.0,156.29581212997437,1.5185546875,10842388.0,16094848.0,0.951984877126654,0.9468466712596458,0.9345533965591899,0.17297786232136853,0.9467545099831555,0.9345576312831099,0.9519497016445596,0.9939485627836612,0.9991320770038191,0.9936947121324438,0.9917553033917385,0.010575999115449661,0.03003499054585255,0.9924823778357968,0.9917647740243536,0.012833646073301001,0.030042363359203392,0.9997909499642359,0.9998445865437815,0.9939707529893624
4,True,103682048.0,416865280.0,436207616.0,5,537.0,12.65,79.0,48.0,0.0001,2016640.0,138.98823857307434,1.24755859375,10809216.0,16094848.0,0.9648393194706995,0.9630796289097605,0.9521146235575962,0.13674287491166412,0.9614421221023928,0.9521366714911562,0.9649176341860016,0.983358547655068,0.9995513953365938,0.9855263157894737,0.9773825891662882,0.013171948335002008,0.05657442442969942,0.9795142501188046,0.9777541762610966,0.027708934508846435,0.056574387959992076,0.9998985008930583,0.9999172777182639,0.9835442862605954
4,True,103682048.0,416865280.0,436207616.0,6,537.0,11.88,79.0,23.0,0.0001,2016884.0,147.41182661056519,1.36181640625,10790056.0,16094848.0,0.9727788279773157,0.9729489822105135,0.9629360311299192,0.10384690327541674,0.9710230328939626,0.9629682328382494,0.9728142368380343,0.9969742813918305,0.9997085142619264,0.9963262910798123,0.9958753365719117,0.01594205401655424,0.02434459885613325,0.9962555967268797,0.9958784460763618,0.009084220437213786,0.024315219797984663,0.9999370123510349,0.9999542760145388,0.9969744869370193
4,True,103682048.0,416865280.0,436207616.0,7,537.0,12.86,80.0,13.0,0.0001,2017512.0,149.69264030456543,1.51220703125,10786264.0,16094848.0,0.9769376181474481,0.9775030533946587,0.9685963923562009,0.0960028718400391,0.9755238812548385,0.968637707711044,0.9769600349497449,0.9939485627836612,0.9993373767384574,0.99,0.9917408036785286,0.0070866175866388294,0.023318857758914638,0.9922937925170068,0.9917910575363205,0.01114031985944766,0.023293748853396294,0.9998561993901269,0.999897765153469,0.9939183313264792
4,True,103682048.0,416865280.0,436207616.0,8,537.0,15.06,80.0,13.0,0.0001,2017524.0,151.64818382263184,1.48388671875,10809876.0,16094848.0,0.9803402646502836,0.9801371359361937,0.9732168289408969,0.0843627522439416,0.9789998298100621,0.9732266973278609,0.9803587581628653,0.9984871406959153,0.9999931110498761,0.9975,0.9979369409297186,0.011334026921554103,0.014204241823420526,0.9980875506139623,0.9979400958698424,0.0037597600997031928,0.014196843795188518,0.9999972063917756,0.9999967879844924,0.9984853249215491
4,True,103682048.0,416865280.0,436207616.0,9,537.0,15.18,80.0,19.0,0.0001,2017536.0,154.43996143341064,1.3935546875,10806436.0,16094848.0,0.9822306238185256,0.9816249236352991,0.975776488589482,0.0765393438965561,0.981512250112526,0.9757920836104136,0.9822365326271882,0.9954614220877458,1.0,0.9960526315789473,0.9938177691593039,0.008070425905145305,0.01093810555109833,0.9943160287987874,0.9938459840468082,0.004226805136944482,0.010937919383440266,1.0,1.0,0.9954769003754343
4,True,103682048.0,416865280.0,436207616.0,10,537.0,12.68,80.0,55.0,0.0001,2017536.0,158.39017629623413,1.46728515625,10770540.0,16094848.0,0.9829867674858223,0.982615872184073,0.9768186309845946,0.06763048165232217,0.9816932335166934,0.9768271317941756,0.9830074115600284,0.989409984871407,0.9999034188711516,0.9834177215189873,0.9855382749696826,0.004877451862714256,0.024557296795642485,0.9867997523934064,0.9856507761582236,0.012102963413800474,0.024539249666886965,0.9999778981167291,0.9999824781397056,0.9893401643255639
